,rank,major,degree,early career pay,mid career pay,percent high meaning
114,114,Environmental Health & Safety Management,Bachelors,67500,123100,61
115,114,Financial Economics,Bachelors,70500,123100,36
116,117,Business Economics,Bachelors,66500,122800,45
117,117,Nuclear Engineering Technology (NET),Bachelors,92500,122800,54
118,119,Mathematics,Bachelors,72300,122700,44
119,120,Civil Engineering (CE),Bachelors,73400,122600,65
120,121,Business Information Systems,Bachelors,73800,122200,45
121,121,Information Systems Management,Bachelors,69500,122200,48
122,121,Polymer Science & Engineering,Bachelors,82900,122200,0
123,124,Information Security & Assurance,Bachelors,70000,122000,42
124,124,Applied Economics,Bachelors,69200,122000,41
125,126,International Management,Bachelors,63100,121900,42
126,126,Political Communication,Bachelors,56000,121900,51
127,126,Economics & Political Science,Bachelors,64200,121900,46
128,129,Accounting & Computer Systems,Bachelors,75400,121800,0
129,129,Civil & Environmental Engineering,Bachelors,73500,121800,66
130,129,Construction Management,Bachelors,71800,121800,59
131,129,Construction Science,Bachelors,77500,121800,67
132,133,Control Engineering,Bachelors,77700,121700,59
133,134,Russian Studies,Bachelors,56500,121600,41
134,135,Cybersecurity,Bachelors,72600,121500,56
135,136,Robotics & Automation,Bachelors,72700,121200,69
136,137,Computer Management Information Systems (CMIS),Bachelors,63900,121100,50
137,138,Aeronautical Science,Bachelors,64200,121000,62
138,138,Manufacturing Engineering,Bachelors,77500,121000,50
139,140,Information Systems (IS),Bachelors,73000,120600,45
140,141,Engineering Management,Bachelors,77400,120500,53
141,142,Computing & Information Systems (CIS),Bachelors,68900,120000,46
142,143,Mechanical,Bachelors,79800,119900,41
143,144,Business Logistics & Transportation,Bachelors,64700,119800,42
144,145,Biosystems Engineering,Bachelors,72600,119500,69
145,146,Agricultural Economics,Bachelors,61700,119400,57
146,147,Data Processing,Bachelors,73700,119300,42
147,147,Food Marketing,Bachelors,65000,119300,29
148,147,Geophysics,Bachelors,62700,119300,42
149,150,Management & Finance,Bachelors,64100,118800,61
150,151,Business Finance,Bachelors,65200,118600,44
151,151,Construction Engineering,Bachelors,75700,118600,60
152,151,Organic Chemistry,Bachelors,50600,118600,0
153,154,Real Estate,Bachelors,69400,118500,42
154,155,Finance,Bachelors,68500,118400,42
155,155,Plastics Engineering Technology,Bachelors,73600,118400,34
156,157,European Studies,Bachelors,60900,118100,41
157,157,Safety Science,Bachelors,70000,118100,68
158,159,Computer Science & Information Technology,Bachelors,73500,118000,48
159,160,Japanese Language,Bachelors,59900,117900,39
160,161,Information Sciences and Technology,Bachelors,72900,117800,45
161,161,International Business,Bachelors,63100,117800,40
162,163,Architectural Engineering,Bachelors,74600,117700,57
163,164,International Marketing,Bachelors,66700,117600,25
164,164,Molecular Biology,Bachelors,61700,117600,66
165,166,Building Construction Management,Bachelors,70500,117500,67
166,167,Business Operations,Bachelors,71300,117400,0
167,168,Computer Information Systems (CIS),Bachelors,69400,117300,47
168,168,Electrical Engineering Technology (EET),Bachelors,74000,117300,48
169,170,Government & International Politics (GVIP),Bachelors,58100,117200,44
170,171,Information Security,Bachelors,75000,117100,40
171,172,East Asian Studies,Bachelors,57500,116900,49
172,173,Strategic Management,Bachelors,74900,116700,48
173,174,Labor Relations,Bachelors,55700,116600,35
174,175,Entrepreneurship & Leadership,Bachelors,64300,116400,43
175,176,Agricultural Engineering (AE),Bachelors,71500,116300,62
176,177,Information Technology Management,Bachelors,71900,116100,48
177,177,International Relations,Bachelors,60500,116100,49
178,179,Financial Planning,Bachelors,61200,115800,59
179,180,Computer Engineering Technology (CET),Bachelors,71100,115700,45
180,180,Corporate Finance,Bachelors,72400,115700,40
181,182,Engineering Science,Bachelors,77500,115600,47
182,183,European History,Bachelors,59400,115500,41
183,184,Rhetoric,Bachelors,59300,114900,41
184,185,Network Engineering,Bachelors,69400,114600,51
185,186,Mechanical Design,Bachelors,68400,114500,50
186,187,Environmental Engineering,Bachelors,70400,114400,62
187,188,Chinese Language,Bachelors,61000,114000,42
188,188,Robotics,Bachelors,87900,114000,57
189,190,Economics & Management,Bachelors,61500,113800,47
190,191,Computing,Bachelors,71300,113600,55
191,191,Product Design,Bachelors,70000,113600,38
192,193,Mechanical Engineering Technology (MET),Bachelors,72300,113200,48
193,194,Industrial & Labor Relations,Bachelors,77000,113000,44
194,195,Food Science & Technology,Bachelors,59800,112800,49
195,196,Accounting & Auditing,Bachelors,65400,112700,44
196,197,Biochemistry (BCH),Bachelors,57100,112600,64
197,198,Accounting & Finance,Bachelors,66900,112500,46
198,198,Agricultural Economics & Business,Bachelors,62100,112500,56
199,198,Engineering Technology (ET),Bachelors,65800,112500,49
200,198,Biotechnology,Bachelors,61100,112500,62
201,202,Dairy Science,Bachelors,57700,112200,67
202,202,Operations Management (OM),Bachelors,69700,112200,44
203,202,Web Development,Bachelors,61600,112200,43
204,205,Industrial Management,Bachelors,65200,111900,51
205,205,Information Assurance,Bachelors,61600,111900,60
206,205,Telecommunication & Information Management,Bachelors,66800,111900,42
207,208,Environmental Policy Analysis & Planning,Bachelors,58200,111600,67
208,208,Pharmaceutical Sciences (PS),Bachelors,60900,111600,69
209,210,Aviation,Bachelors,65000,111400,52
210,210,Business & Marketing,Bachelors,59000,111400,46
211,210,Computer Networking Systems,Bachelors,64000,111400,48
212,210,Organizational Behavior,Bachelors,63500,111400,56
213,214,Consumer Economics,Bachelors,60600,111300,46
214,214,Information Technology (IT),Bachelors,67800,111300,46
215,214,Sales & Business Marketing,Bachelors,63900,111300,55
216,217,Aviation Management,Bachelors,58000,111200,56
217,217,Informatics,Bachelors,78700,111200,46
218,219,Industrial Safety,Bachelors,59400,111100,82
219,219,Structural Design & Construction Engineering Technology,Bachelors,77000,111100,48
220,221,Computer Security,Bachelors,76500,110800,43
221,221,Hotel Administration,Bachelors,76800,110800,37
222,221,Software Applications & Programming,Bachelors,71400,110800,33
223,224,Occupational Health and Safety,Bachelors,66800,110700,69
224,225,Database Management,Bachelors,74500,110600,0
225,226,Business Technology Management,Bachelors,69600,110400,41
226,226,Production Management,Bachelors,55800,110400,27
227,228,Business & Finance,Bachelors,63600,109800,54
228,229,Environmental Health & Safety,Bachelors,64800,109600,66
229,229,Information Technology (IT) & Systems,Bachelors,70400,109600,47
230,229,Telecommunications Management,Bachelors,60600,109600,46
231,232,Electronics Engineering Technology (EET),Bachelors,72600,109300,51
232,232,Marketing & Management,Bachelors,57700,109300,47
233,232,Operations & Supply Chain Management,Bachelors,69300,109300,45
234,232,Physical Therapy,Bachelors,54900,109300,88
235,232,Politics,Bachelors,59500,109300,51
236,237,Physics & Astronomy,Bachelors,63700,109200,33
237,238,Agribusiness,Bachelors,57600,109000,53
238,238,Chemistry,Bachelors,58500,109000,56
239,238,Finance & Banking,Bachelors,62600,109000,47
240,241,Aviation Flight Science (AFL),Bachelors,61500,108800,49
241,242,Construction Science & Management,Bachelors,73800,108600,75
242,243,Marketing,Bachelors,58200,108400,41
243,244,Cell Biology,Bachelors,56800,108100,55
244,244,Civil Engineering Technology (CET),Bachelors,66000,108100,61
245,244,Genetics,Bachelors,61200,108100,72
246,247,Government & Politics,Bachelors,59500,107800,51
247,248,Biopsychology,Bachelors,60300,107500,74
248,248,Applied Networking & Systems Administration,Bachelors,67200,107500,44
249,250,Industrial Technology (IT),Bachelors,71700,107400,50
250,251,Geological Engineering,Bachelors,68400,107200,51
251,251,Real Estate Development,Bachelors,66600,107200,0
252,253,Accounts,Bachelors,67100,107100,44
253,253,Electromechanical Engineering,Bachelors,79100,107100,56
254,255,Risk Management,Bachelors,68500,107000,37
255,255,Social Ecology,Bachelors,55400,107000,0
256,257,Microbiology & Immunology,Bachelors,63500,106800,74
257,258,French Literature,Bachelors,53900,106600,50
258,259,City & Regional Planning,Bachelors,58600,106500,70
259,259,Construction Technology,Bachelors,71500,106500,0
260,259,Italian Language,Bachelors,56600,106500,40
261,259,Marketing Communication,Bachelors,52200,106500,42
262,263,Business Management & Marketing,Bachelors,56900,106400,45
263,263,Industrial Design (ID),Bachelors,62900,106400,40
264,265,Marketing & Communications,Bachelors,56400,106300,46
265,266,Political Science,Bachelors,57700,106200,47
266,267,Advertising Design,Bachelors,58000,106100,32
267,267,Manufacturing Management,Bachelors,72300,106100,48
268,269,Computer Information Systems,Bachelors,65100,106000,45
269,269,Network Security,Bachelors,68000,106000,52
270,269,Risk Management & Insurance,Bachelors,67400,106000,46
271,272,Comparative Literature,Bachelors,53600,105800,49
272,272,Sales & Marketing,Bachelors,61100,105800,49
273,274,Welding Engineering Technology,Bachelors,82700,105600,42
274,275,Philosophy,Bachelors,60500,105500,42
275,275,Networks & Telecommunications,Bachelors,61600,105500,49
276,275,Business Data Analysis,Bachelors,72600,105500,39
277,278,Environmental Science & Policy,Bachelors,56600,105400,58
278,278,German Language,Bachelors,59000,105400,43
279,278,Japanese Studies,Bachelors,58000,105400,21
280,281,Atmospheric Science,Bachelors,55700,105200,55
281,281,Business Psychology,Bachelors,58000,105200,0
282,281,Digital Design,Bachelors,56400,105200,39
283,281,International Development Studies,Bachelors,53700,105200,62
284,285,Accounting,Bachelors,62100,105100,41
285,286,Spanish Literature,Bachelors,57900,105000,49
286,286,Technical Communication,Bachelors,55600,105000,42
287,288,Computer Programming,Bachelors,67000,104800,47
288,289,Architecture,Bachelors,58000,104500,52
289,289,Project Management,Bachelors,64400,104500,56
290,291,Hotel Management,Bachelors,55900,104200,46
291,291,Music Production & Engineering,Bachelors,53400,104200,50
292,291,Urban Planning,Bachelors,56100,104200,53
293,294,Cell & Molecular Biology,Bachelors,58100,104000,67
294,294,Safety Management,Bachelors,67500,104000,67
295,296,Manufacturing Engineering Technology,Bachelors,74900,103500,50
296,297,Advertising,Bachelors,53500,103400,33
297,298,Marketing Management,Bachelors,58700,103300,40
298,298,Insurance,Bachelors,63400,103300,51
299,300,Occupational Therapy (OT),Bachelors,60700,103200,87
300,301,Applied Computer Science,Bachelors,74000,103000,42
301,302,Geology,Bachelors,56000,102800,55
302,302,Meteorology,Bachelors,53100,102800,55
303,304,Electronic Systems Technology (EST),Bachelors,86900,102600,44
304,304,Environmental Design,Bachelors,54000,102600,53
305,304,Radiation Therapy,Bachelors,76100,102600,91
306,307,Latin American Studies,Bachelors,53200,102500,61
307,307,Logistics,Bachelors,66400,102500,40
308,307,Transportation & Logistics Management,Bachelors,65800,102500,49
309,310,Applied Technology,Bachelors,65500,102300,49
310,311,Environmental Health,Bachelors,56900,102200,69
311,312,Design,Bachelors,60500,102000,39
312,313,Computer Graphics Technology (CGT),Bachelors,55100,101800,44
313,313,Crop Science,Bachelors,54700,101800,56
314,315,Industrial Psychology,Bachelors,56400,101500,50
315,316,Entrepreneurship,Bachelors,61500,101300,47
316,316,German Studies,Bachelors,57500,101300,46
317,316,Neuroscience,Bachelors,58900,101300,60
318,319,Computer & Network Administration,Bachelors,64500,101200,46
319,319,Financial Accounting,Bachelors,63500,101200,49
320,319,Food Science,Bachelors,60400,101200,48
321,319,Microbiology,Bachelors,54800,101200,69
322,323,Digital Media Design,Bachelors,52200,101000,28
323,323,Agronomy,Bachelors,55200,101000,65
324,325,Accounting & Management,Bachelors,62600,100600,50
325,325,Aeronautics,Bachelors,69600,100600,62
326,325,Business Communication,Bachelors,57900,100600,47
327,328,Urban & Regional Planning,Bachelors,59600,100500,60
328,329,Global Business Management,Bachelors,63800,100100,53
329,329,Police Science,Bachelors,61500,100100,0
330,331,Math & Science,Bachelors,63900,100000,64
331,332,Corporate Communications,Bachelors,54700,99900,45
332,333,Political Science/Public Law,Bachelors,59200,99800,69
333,334,Accounting Information Systems,Bachelors,70900,99700,56
334,334,Anthropology & English,Bachelors,53800,99700,0
335,334,Organizational Psychology,Bachelors,56400,99700,51
336,337,Advertising & Marketing Communications,Bachelors,54900,99200,38
337,337,Entomology,Bachelors,49900,99200,0
338,339,Product Design Engineering,Bachelors,73500,99100,41
339,340,Personal Financial Planning,Bachelors,60400,99000,60
340,341,Biological Sciences,Bachelors,56400,98900,68
341,341,Pre-law,Bachelors,52900,98900,50
342,343,Textile Technology,Bachelors,60400,98800,37
343,344,Strategic Communication,Bachelors,52900,98700,42
344,344,Technology,Bachelors,63200,98700,0
345,346,Environmental Science,Bachelors,55800,98600,61
346,347,International Studies,Bachelors,56200,98500,50
347,348,Cinema Studies,Bachelors,53200,98300,37
348,349,Professional & Technical Writing,Bachelors,54800,98200,47
349,350,Automotive Technology,Bachelors,55400,97800,52
350,351,New Media Design,Bachelors,63100,97700,28
351,351,Theatre & Drama Studies,Bachelors,53100,97700,50
352,351,Information Systems Security,Bachelors,64800,97700,47
353,354,Aviation Maintenance Technology,Bachelors,57300,97500,60
354,354,Organizational Development,Bachelors,60800,97500,55
355,356,Financial Management,Bachelors,62700,97400,53
356,356,International Trade & Business,Bachelors,61500,97400,29
357,356,Textile & Apparel Studies,Bachelors,53300,97400,25
358,356,Toxicology,Bachelors,53900,97400,0
359,360,Construction Engineering Technology,Bachelors,63800,97200,60
360,361,Advertising & Marketing,Bachelors,55200,97100,38
361,361,English Literature,Bachelors,53800,97100,46
362,363,Advertising & Promotion,Bachelors,53400,97000,46
363,364,Agricultural Science,Bachelors,53800,96900,55
364,364,Fashion Design,Bachelors,53900,96900,27
365,364,Hydrology,Bachelors,53400,96900,0
366,367,Technical Management,Bachelors,72300,96800,66
367,368,Electronics & Computer Technology,Bachelors,60500,96600,0
368,369,French Studies,Bachelors,59000,96500,58
369,369,Magazine Journalism,Bachelors,54300,96500,37
370,369,Management,Bachelors,58100,96500,49
371,369,Sociology & Organizational Studies,Bachelors,61400,96500,55
372,373,International Affairs,Bachelors,58300,96300,51
373,373,Business Administration,Bachelors,60200,96300,51
374,375,Finance & Marketing,Bachelors,67800,96200,41
375,375,Land Surveying,Bachelors,58200,96200,56
376,377,Journalism & Mass Communication,Bachelors,52800,96100,44
377,378,Business Management,Bachelors,58700,95900,52
378,378,Speech & Drama,Bachelors,45100,95900,0
379,380,Agribusiness Management,Bachelors,58700,95600,43
380,380,Digital Media,Bachelors,52000,95600,38
381,382,Drama,Bachelors,55600,95500,43
382,382,Linguistics,Bachelors,58600,95500,42
383,384,Architectural Engineering Technology,Bachelors,56800,95400,49
384,384,General Science,Bachelors,56300,95400,58
385,386,Pre-Medicine,Bachelors,57200,95300,69
386,387,Business Administration & Accounting,Bachelors,59500,95200,54
387,387,History & Politics,Bachelors,55300,95200,58
388,387,Nursing Science,Bachelors,75600,95200,84
389,390,Global Business,Bachelors,62000,95100,31
390,390,Integrated Marketing Communications,Bachelors,53500,95100,38
