,rank,major,degree,early career pay,mid career pay,percent high meaning
522,523,Business Technology,Bachelors,59200,86400,51
523,523,Radiologic Science,Bachelors,64000,86400,80
524,523,Human Nutrition,Bachelors,55100,86400,82
525,523,Acting,Bachelors,50400,86400,48
526,527,Liberal Arts,Bachelors,51400,86300,52
527,528,Apparel Merchandising,Bachelors,53900,86200,34
528,528,German Language & Literature,Bachelors,56400,86200,44
529,528,Organizational Management,Bachelors,55500,86200,60
530,531,Zoology,Bachelors,46800,86100,66
531,532,Creative Writing,Bachelors,51200,85900,41
532,533,Geomatics,Bachelors,57800,85800,67
533,534,Law Enforcement,Bachelors,52800,85700,62
534,535,Administration,Bachelors,49200,85600,59
535,535,Cytotechnology,Bachelors,66800,85600,86
536,535,Fashion Marketing & Management,Bachelors,54400,85600,27
537,538,Applied Management,Bachelors,49800,85400,61
538,538,Management & Leadership,Bachelors,59500,85400,56
539,540,Human Resources (HR),Bachelors,53800,85300,55
540,541,Animal Science & Management,Bachelors,51500,85200,61
541,542,Adult Education & Training,Bachelors,55200,85100,78
542,543,Agricultural Communication,Bachelors,51300,84900,49
543,543,Health & Fitness,Bachelors,44100,84900,71
544,545,Criminal Justice Administration,Bachelors,51900,84800,61
545,545,Emergency Management,Bachelors,58100,84800,77
546,545,Media Arts,Bachelors,51300,84800,33
547,545,Sociology & Anthropology,Bachelors,51200,84800,53
548,545,Radiology,Bachelors,62300,84800,81
549,550,Communication Design,Bachelors,58500,84700,34
550,550,Earth Science,Bachelors,56800,84700,52
551,550,Modern Languages,Bachelors,57700,84700,55
552,550,Training and Development,Bachelors,59600,84700,0
553,554,Hospital Administration,Bachelors,59800,84400,53
554,554,Human Relations,Bachelors,51100,84400,63
555,556,Natural Resources,Bachelors,54200,84300,58
556,557,Ethnic Studies,Bachelors,54500,84200,62
557,557,Hotel & Restaurant Management,Bachelors,54200,84200,49
558,559,Broadcast Communication,Bachelors,45900,83800,45
559,559,Mass Media,Bachelors,45800,83800,45
560,561,Advertising & Graphic Design,Bachelors,53000,83700,39
561,561,Radiologic Technology,Bachelors,62000,83700,81
562,563,Merchandising,Bachelors,59300,83600,32
563,563,Romance Languages,Bachelors,57400,83600,55
564,565,Environmental Health Science,Bachelors,61500,83500,0
565,566,Criminology,Bachelors,50700,83400,54
566,566,Psychology,Bachelors,51000,83400,56
567,568,Cardiopulmonary Science,Bachelors,56500,83200,92
568,568,Labor Studies,Bachelors,53700,83200,51
569,570,Medical Laboratory Technology,Bachelors,64300,83000,83
570,570,Visual Communications,Bachelors,51200,83000,34
571,572,Audio Engineering,Bachelors,53800,82800,40
572,573,Middle Eastern Studies,Bachelors,65300,82700,47
573,573,Health,Bachelors,49600,82700,70
574,575,Hospitality Management,Bachelors,53100,82600,43
575,575,Health Care Management,Bachelors,51700,82600,75
576,575,Painting & Printmaking,Bachelors,39300,82600,46
577,578,Multimedia & Web Design,Bachelors,55700,82500,31
578,579,Health Administration,Bachelors,48700,82400,66
579,579,Natural Resource Management,Bachelors,52800,82400,54
580,579,Psychology & Social Behavior,Bachelors,51100,82400,58
581,582,Communication Management,Bachelors,51700,82300,45
582,582,Health Sciences,Bachelors,50700,82300,70
583,582,Nutrition Science,Bachelors,57100,82300,67
584,582,Web Design,Bachelors,53900,82300,29
585,586,Health Management,Bachelors,50400,82200,70
586,586,Life Sciences,Bachelors,59700,82200,60
587,588,Anthropology,Bachelors,53200,82100,47
588,588,Music,Bachelors,51000,82100,55
589,590,Ecology,Bachelors,53200,82000,59
590,590,Human Resources Development,Bachelors,55200,82000,51
591,590,SocialStudies,Bachelors,52700,82000,56
592,593,New Media,Bachelors,51600,81900,37
593,593,Psychiatry,Bachelors,64300,81900,50
594,595,Sociology,Bachelors,52800,81800,55
595,596,Health Care Administration,Bachelors,52100,81600,68
596,597,Interior Design,Bachelors,51300,81500,51
597,597,Respiratory Care,Bachelors,61800,81500,85
598,599,Health Information Management,Bachelors,55000,81300,68
599,599,Art & Design,Bachelors,51100,81300,39
600,601,Child Psychology,Bachelors,48400,81100,62
601,602,Clinical Laboratory Science,Bachelors,61700,81000,82
602,602,Diagnostic Medical Imaging,Bachelors,68300,81000,73
603,602,Humanities,Bachelors,55900,81000,54
604,602,Medical Laboratory Science,Bachelors,62700,81000,86
605,602,Theater,Bachelors,51200,81000,49
606,607,Kinesiology,Bachelors,51100,80900,66
607,608,Exercise Physiology,Bachelors,49100,80800,75
608,608,Forensic Accounting,Bachelors,51900,80800,44
609,608,Secondary Education,Bachelors,50700,80800,58
610,611,Multidisciplinary Studies,Bachelors,49600,80700,52
611,612,Archaeology,Bachelors,51100,80500,45
612,612,Communication Arts,Bachelors,47800,80500,40
613,614,Arts & Science,Bachelors,51700,80400,0
614,614,Illustration,Bachelors,51300,80400,38
615,614,Sustainability,Bachelors,54900,80400,58
616,617,Hotel & Restaurant Tourism,Bachelors,48900,80300,0
617,617,Radiography,Bachelors,62400,80300,83
618,619,Media Communication,Bachelors,53000,80200,44
619,619,Respiratory Therapy,Bachelors,61800,80200,83
620,621,Applied Behavior Analysis,Bachelors,43400,80000,88
621,622,Technology Teacher Education,Bachelors,54000,79800,0
622,623,Professional Studies,Bachelors,47500,79300,67
623,624,Communications Technology,Bachelors,52500,79200,32
624,625,Biological Anthropology,Bachelors,52200,79000,46
625,625,Art Therapy,Bachelors,46100,79000,84
626,625,Commercial Photography,Bachelors,48900,79000,28
627,628,Liberal Studies,Bachelors,51000,78900,56
628,628,Radio & Television,Bachelors,49000,78900,40
629,630,Nutrition,Bachelors,52800,78600,65
630,631,Plant Sciences,Bachelors,55500,78400,57
631,632,Graphic Design,Bachelors,51300,78300,38
632,633,Legal Studies,Bachelors,53300,78200,52
633,633,Nutrition & Dietetics,Bachelors,57200,78200,71
634,635,Turfgrass Management,Bachelors,53300,78100,38
635,636,Dietetics,Bachelors,57500,78000,74
636,636,Interdisciplinary Studies (IS),Bachelors,50700,78000,57
637,638,Fashion Design & Marketing,Bachelors,55900,77900,50
638,639,Applied Sociology,Bachelors,47500,77800,57
639,639,Hospital Management,Bachelors,62300,77800,0
640,639,Religion,Bachelors,50500,77800,56
641,642,Medical Technology,Bachelors,61000,77700,82
642,643,Art Administration,Bachelors,45600,77600,53
643,643,Criminal Justice,Bachelors,48600,77600,56
644,643,Fine Arts,Bachelors,49000,77600,45
645,646,Criminal Law,Bachelors,62800,77400,0
646,646,Forensic Science,Bachelors,51300,77400,63
647,648,Philosophy & Religious Studies,Bachelors,55600,77300,61
648,648,Public Health (PH),Bachelors,52300,77300,70
649,650,Speech-Language Pathology,Bachelors,49600,77100,68
650,651,Landscape Management,Bachelors,58700,77000,0
651,651,Women's Studies,Bachelors,51200,77000,60
652,653,Forensic Psychology,Bachelors,48300,76900,57
653,653,Modern Language Spanish,Bachelors,51100,76900,63
654,655,Educational Studies (ED),Bachelors,45300,76800,66
655,655,Physical Geography,Bachelors,55000,76800,58
656,657,Culture Studies,Bachelors,50700,76700,53
657,657,Pastoral Studies,Bachelors,58900,76700,0
658,659,Dramatic Art,Bachelors,47100,76600,0
659,660,Music Industry,Bachelors,52200,76400,38
660,661,Performing Arts,Bachelors,51300,76300,56
661,662,African American & African Studies,Bachelors,54300,76100,61
662,663,Animal Science,Bachelors,46800,76000,66
663,663,Ornamental Horticulture,Bachelors,51600,76000,67
664,665,Hospitality & Tourism,Bachelors,51400,75900,40
665,666,Education,Bachelors,50600,75800,65
666,667,Foods & Nutrition,Bachelors,52800,75300,68
667,668,Fashion & Retail Management,Bachelors,55800,75000,30
668,669,Music Composition,Bachelors,49400,74900,52
669,669,Small Business Management,Bachelors,52900,74900,36
670,671,Clinical Nutrition,Bachelors,58700,74800,0
671,672,Painting,Bachelors,47400,74700,44
672,673,Speech Pathology & Audiology,Bachelors,51400,74600,75
673,674,Psychology & Sociology,Bachelors,48600,74400,53
674,674,Physical Education Teaching,Bachelors,48000,74400,68
675,676,Clinical Psychology,Bachelors,47500,74300,65
676,677,Health Studies,Bachelors,49500,74200,64
677,677,Instrumental Music Teacher Education,Bachelors,48000,74200,69
678,679,Technical Theatre,Bachelors,46400,74100,41
679,680,Art,Bachelors,49500,73900,46
680,680,Social & Criminal Justice,Bachelors,49900,73900,55
681,682,Consumer Affairs,Bachelors,57200,73800,44
682,682,Family & Consumer Science,Bachelors,49400,73800,61
683,684,Network Technology,Bachelors,63500,73700,60
684,685,Photography,Bachelors,49600,73600,39
685,685,Video Production,Bachelors,48600,73600,36
686,687,International Trade,Bachelors,54100,73400,44
687,688,Horticulture & Agronomy,Bachelors,58900,73200,0
688,688,Missions,Bachelors,45400,73200,0
689,690,General Studies,Bachelors,49600,73100,53
690,690,Health Services Administration,Bachelors,49000,73100,64
691,692,Justice Studies,Bachelors,51500,73000,49
692,693,Culinary Arts,Bachelors,44600,72800,55
693,693,Physical Therapist Assistant Studies,Bachelors,55100,72800,0
694,695,English Teacher Education,Bachelors,48800,72600,56
695,695,Exercise & Sports Science,Bachelors,48000,72600,71
696,695,Health & Exercise Science,Bachelors,46900,72600,66
697,695,Recreation & Leisure Studies,Bachelors,47100,72600,59
698,695,Sports Administration,Bachelors,49700,72600,47
699,700,Graphic Arts,Bachelors,48000,72400,44
700,701,Supervision & Management,Bachelors,48000,72100,60
701,701,Secondary English Teacher Education,Bachelors,49800,72100,62
702,703,Exercise Science,Bachelors,47300,72000,72
703,703,Interior Design & Merchandising,Bachelors,50200,72000,41
704,705,Health & Wellness,Bachelors,45500,71900,69
705,706,Restaurant & Food Service Management,Bachelors,50100,71800,40
706,707,Behavioral Science,Bachelors,49800,71700,60
707,707,Culinary Arts & Food Service Management,Bachelors,48300,71700,48
708,707,Event Management,Bachelors,48200,71700,42
709,707,Theology,Bachelors,49600,71700,68
710,711,Wildlife Management,Bachelors,44500,71600,46
711,712,Health & Physical Education Teaching,Bachelors,44000,71500,62
712,712,Ministry,Bachelors,41500,71500,80
713,712,Mortuary Science,Bachelors,48800,71500,78
714,715,Media Production,Bachelors,49000,71200,35
715,716,Communicative Disorders,Bachelors,53300,71000,71
716,716,Health Services Management,Bachelors,47400,71000,87
717,718,Paralegal Studies,Bachelors,45200,70800,49
718,718,Social Science Teacher Education,Bachelors,51000,70800,0
719,720,Recreation Administration,Bachelors,54200,70600,66
720,720,Rehabilitation Counseling,Bachelors,44100,70600,0
721,722,Audio Production,Bachelors,49800,70500,45
722,722,Radio Broadcasting,Bachelors,51000,70500,39
723,724,Community Health,Bachelors,52500,70300,73
724,725,Drawing,Bachelors,43400,70100,37
725,726,Dance,Bachelors,50600,69900,59
726,727,Music Teacher Education,Bachelors,47700,69800,58
727,728,Gender Studies,Bachelors,51200,69700,55
728,728,Photojournalism,Bachelors,46800,69700,55
729,730,Family & Community Services,Bachelors,48400,69600,77
730,731,Conservation Biology,Bachelors,48100,69500,53
731,731,Drawing & Painting,Bachelors,48900,69500,45
732,733,Organizational Administration,Bachelors,51100,69400,0
733,733,Vocal Performance,Bachelors,48400,69400,62
734,735,Clinical Social Work (CSW),Bachelors,48600,69200,0
735,735,Tourism & Travel,Bachelors,45200,69200,38
736,735,Tourism Management,Bachelors,48900,69200,38
737,738,Wildlife Biology,Bachelors,48200,68900,58
738,739,Teaching English as a Second Language (ESL),Bachelors,48800,68800,67
739,740,Parks & Recreation Management,Bachelors,49000,68700,59
740,741,Social Services,Bachelors,44800,68500,78
741,742,Elementary Special Education,Bachelors,51200,68300,81
742,743,Ceramics,Bachelors,49500,68000,45
743,743,Horticulture,Bachelors,48400,68000,56
744,743,Landscape Design,Bachelors,57100,68000,62
745,746,Rehabilitation Services,Bachelors,41300,67600,74
746,746,Speech & Hearing,Bachelors,51400,67600,72
747,748,Sculpture,Bachelors,44700,67200,48
748,749,Health Promotion,Bachelors,47700,67000,71
749,750,Athletic Training,Bachelors,47700,66900,75
750,751,Family Studies,Bachelors,45000,66800,60
751,752,History Teacher Education,Bachelors,51800,66700,47
752,752,Social Studies Teacher Education,Bachelors,49200,66700,59
753,754,Biblical Studies & Practical Ministries,Bachelors,45400,66600,0
754,755,Communication Sciences & Disorders,Bachelors,49900,66500,75
755,756,Emergency Medical Services (EMS),Bachelors,47300,66300,0
756,757,Deaf Studies,Bachelors,43700,66100,0
757,758,Community Health Education,Bachelors,48600,65800,70
758,759,Musical Theatre,Bachelors,50000,65500,46
759,760,Pastoral Ministry,Bachelors,43500,65200,76
760,761,Bible Studies & Theology,Bachelors,44800,65100,68
761,762,Biblical Studies,Bachelors,47000,65000,71
762,763,Christian Ministry,Bachelors,43000,64500,75
763,764,Human Development & Family Studies,Bachelors,45400,64400,63
764,765,Church Ministries,Bachelors,43600,64300,79
765,766,Community Development,Bachelors,50300,63600,69
766,767,Music Therapy,Bachelors,48500,63500,95
767,768,Voice & Opera,Bachelors,38700,63200,53
768,769,Legal Assistant Studies,Bachelors,42000,63000,39
769,770,Health and Human Services,Bachelors,48800,62900,64
770,771,Home Economics,Bachelors,47700,62800,69
771,772,Special Education,Bachelors,46400,62700,75
772,773,Conflict Resolution,Bachelors,52000,62100,50
773,774,Educational Psychology,Bachelors,45900,61800,0
774,774,Developmental Psychology,Bachelors,42900,61800,0
775,776,Youth Ministry,Bachelors,42800,61700,74
776,777,Therapeutic Recreation,Bachelors,44900,61500,83
777,778,Community & Human Services,Bachelors,48100,61300,79
778,778,Social Work (SW),Bachelors,43300,61300,76
779,780,Elementary Education,Bachelors,45800,60700,68
780,781,Office Administration,Bachelors,43400,60500,67
781,782,Christian Education,Bachelors,45300,60300,84
782,783,Counseling,Bachelors,45100,59600,79
783,783,Human Services (HS),Bachelors,44400,59600,70
784,785,Health & Human Performance,Bachelors,43000,58900,67
785,786,Mental Health Counseling,Bachelors,40600,58500,0
786,786,Middle School Education,Bachelors,47200,58500,76
787,788,Child Development,Bachelors,42200,57900,73
788,789,Recreational Therapy,Bachelors,44900,57200,84
789,790,Early Childhood & Elementary Education,Bachelors,43400,56500,76
790,791,Outdoor Education,Bachelors,42200,55200,51
791,792,Baking & Pastry Arts,Bachelors,42400,54900,38
792,793,Mental Health,Bachelors,42700,52900,76
793,794,Child & Family Studies,Bachelors,41600,52700,73
794,795,Equine Studies,Bachelors,40300,52500,50
795,796,Addictions Counseling,Bachelors,45900,52200,78
796,797,Nonprofit Administration,Bachelors,42800,52100,72
797,798,Early Childhood Education,Bachelors,41700,50600,77
798,799,Metalsmithing,Bachelors,44700,44900,36
